lemma,sentence,sense,start,end
ঠান্ডা,"মেসি যদিও সেই প্রসঙ্গ নিয়ে বলছেন , "" আমি সাধারণত মাথা ঠান্ডাই রাখি ।",0,55,61
ঠান্ডা,"আমি তখন জানিই না , ঠান্ডাই কী ।",0,19,25
ঠান্ডা,-আমি কি বলছি তোকে না ঘুমিয়ে ঠান্ডার মধ্যে ছাদে বসে থাকতে?,0,28,34
ঠান্ডা,তারাপদর এই ঠান্ডাতেও কপালে ঘাম হচ্ছিল ।,0,11,17
ঠান্ডা,"একজনকে জিজ্ঞেস করলাম, এমন ঠান্ডায় থাকবে কী করে?",0,26,32
ঠান্ডা,"’ এখন যখন করোনা নিয়ে কথা হয় মার সঙ্গে, মাকে আমাদের জন্য দুশ্চিন্তা করতে না বললে মা বলেন, ‘তুমি তো বলে ছিলে সাস্কাচেওয়ান প্রদেশে এই ঠান্ডায় করোনা ঢুকতেই পারবে না।",0,131,137
ঠান্ডা,আমরা এতক্ষন ঠান্ডার টের পাইনি কিন্তু সুখিয়াপুখারির কাছে আস্তে আস্তে ঠান্ডা কাকে বলে বুঝা শুরু করলাম ।,0,12,18
ঠান্ডা,ডেভেনপোর্টের বাস স্ট্যান্ডে দাঁড়িয়ে কনকনে ঠান্ডায় জমে যেতাম আর বাসের জন্য অপেক্ষা করতাম।,0,42,48
ঠান্ডা,কেউ গরম করে দেওয়ার ছিল না বলে ঠান্ডাই খেয়েছিল ।,0,31,37
ঠান্ডা,""" আমরা এতদিন বৃষ্টিতে ভিজে , রাতের হাড়হিম করা ঠান্ডাতেও এই মঞ্চ ছেড়ে যাইনি ।",0,47,53
ঠান্ডা,"বিশেষ করে নেপালের আবহাওয়া , ঠান্ডার সাথে মানিয়ে নিয়ে খেলাটা কঠিন ছিল বলে বলছিলেন আফিফ , ' দেখতে যতটা সহজ মনে হয়েছে , কাজটা অতটা সহজ ছিল না ।",0,29,35
ঠান্ডা,"’‘ডেডবডি তো মর্গে নিয়ে গেছে, লাশকাটা ঘরে হিম ঠান্ডায়।",0,45,51
ঠান্ডা,তাই ঠান্ডার ভয়ে বিকাল হলেই ঘরে দরজা দিয়া থাকি।,0,4,10
ঠান্ডা,"তাদের মধ্যে যারা ভয় পেয়েছে এবং অনেকক্ষণের বৃষ্টিতে ভিজে ঠান্ডায় কেঁপেছে, তাদের চোখগুলো লাল হয়েছে বটে, তবে সেই লাল লাল চোখেও স্পষ্ট দেখা যাচ্ছে অপার বিস্ময়, অনাবিল কৌতুক।",0,56,62
ঠান্ডা,"মহিলাদের নাম -- ঠান্ডার মা , বাচার মা , মেঘার মা , যদিও তাদের সন্তানদের কেউই ঠান্ডা , বাচা বা মেঘা নয় ।",0,16,22
ঠান্ডা,"কিবু সে জন্যই বললেন , "" ঠান্ডার সঙ্গে মানিয়ে নিতেই আগে যাচ্ছি ।",0,24,30
ঠান্ডা,আমাদের জন্য ঠান্ডার মাঝে দাঁড়িয়ে মোবাইল উঁচু করে ধরে নেটওয়ার্ক একটু আনলেন কিন্তু দেশের বাইরে কল করার জন্য টাকা নেই।,0,12,18
ঠান্ডা,"কোনও চিঠিতে গুহার ভিতর ঠান্ডার কথা উল্লেখ করেছে কেউ তো কেউ বাবাকে লিখেছে , বাড়ি ফিরে বাবাকে দোকানে ক্রেতা সামলাতে সাহায্য করবে এরপর থেকে ।",0,23,29
ঠান্ডা,"পূর্ণিমা বলেন , ' অনেক ঠান্ডার কারণে শুটিং স্থগিত করা হয়েছে ।",0,23,29
ঠান্ডা,"তিনি বলেন , "" শীতের সন্ধ্যায় বাড়ির বাইরের ঠান্ডাটা বেশ লাগে ।",0,44,50
ঠান্ডা,তারাপদর এই ঠান্ডাতেও কপালে ঘাম হচ্ছিল ।,0,11,17
ঠান্ডা,প্রচণ্ড ঠান্ডাতেও শিবেনের মাথাটা আজ গরম ।,0,8,14
ঠান্ডা,এ বছর তো প্রায় ডিসেম্বরের মাঝামাঝি অবধি ' একটু ঠান্ডার জন্য ' প্রায় হা - হুতাশ করেছে শহরবাসী ।,0,48,54
ঠান্ডা,’ ঠান্ডায় ছেলেটার ঠোঁট থিরথির কাঁপছিল।,0,2,8
ঠান্ডা,"সকালের চট্টগ্রাম সম্পাদক সাবিনা কাদের তার সামাজিক যোগাযোগ মাধ্যমে দেওয়া সাস্টাস হুবহু তুলে ধরা হল , ক্ষমা করো রাইফা , ঠান্ডার কারণে একটু গলা ব্যাথা ।",0,119,125
