model,hf_id,regime_frac,train_size,dev_size,test_size,best_dev_f1,test_acc,test_f1
sahajbert,neuropark/sahajBERT,0.05,5186,4714,4270,0.8085829615466327,0.7845433255269321,0.7839361202442461
sahajbert,neuropark/sahajBERT,0.1,10372,4714,4270,0.8526228143213989,0.8306791569086651,0.8384357541899441
sahajbert,neuropark/sahajBERT,0.2,20742,4714,4270,0.8625359048009849,0.8543325526932084,0.8614699331848552
sahajbert,neuropark/sahajBERT,0.3,31114,4714,4270,0.8839012446439503,0.8637002341920375,0.8724243752740026
sahajbert,neuropark/sahajBERT,1.0,103714,4714,4270,0.8894389438943895,0.8857142857142857,0.8911685994647636
muril,google/muril-base-cased,0.05,5186,4714,4270,0.813107822410148,0.7978922716627634,0.796510257014855
muril,google/muril-base-cased,0.1,10372,4714,4270,0.8448060075093867,0.8269320843091335,0.8286575469510782
muril,google/muril-base-cased,0.2,20742,4714,4270,0.8665271966527197,0.8690866510538642,0.8704519119351101
muril,google/muril-base-cased,0.3,31114,4714,4270,0.8733118971061093,0.8763466042154566,0.8754129306276546
muril,google/muril-base-cased,1.0,103714,4714,4270,0.8848560700876095,0.8814988290398127,0.8831408775981524
labse,sentence-transformers/LaBSE,0.05,5186,4714,4270,0.8103154305200341,0.7978922716627634,0.7985057202895167
labse,sentence-transformers/LaBSE,0.1,10372,4714,4270,0.8586799089592385,0.8365339578454333,0.8431460674157303
labse,sentence-transformers/LaBSE,0.2,20742,4714,4270,0.8748953974895397,0.8676814988290398,0.8702044566965311
labse,sentence-transformers/LaBSE,0.3,31114,4714,4270,0.8774058577405858,0.8889929742388759,0.8910845588235294
labse,sentence-transformers/LaBSE,1.0,103714,4714,4270,0.8996791443850267,0.884543325526932,0.8858003242992819
e5,intfloat/multilingual-e5-base,0.05,5186,4714,4270,0.7855584209482246,0.775175644028103,0.7900262467191601
e5,intfloat/multilingual-e5-base,0.1,10372,4714,4270,0.8082519001085776,0.8044496487119438,0.8033906286790676
e5,intfloat/multilingual-e5-base,0.2,20742,4714,4270,0.8387231379094513,0.8320843091334894,0.8379661016949153
e5,intfloat/multilingual-e5-base,0.3,31114,4714,4270,0.8552685526855268,0.8426229508196721,0.8494623655913979
e5,intfloat/multilingual-e5-base,1.0,103714,4714,4270,0.8582612278533168,0.846135831381733,0.8526575465350975
banglabert,sagorsarker/bangla-bert-base,0.05,5186,4714,4270,0.7630974744312252,0.7402810304449648,0.7455838495067676
banglabert,sagorsarker/bangla-bert-base,0.1,10372,4714,4270,0.7846342460155292,0.7637002341920375,0.779549923530697
banglabert,sagorsarker/bangla-bert-base,0.2,20742,4714,4270,0.8088356729975227,0.7988290398126464,0.8057879267465521
banglabert,sagorsarker/bangla-bert-base,0.3,31114,4714,4270,0.8195426195426195,0.7990632318501171,0.8044667274384686
banglabert,sagorsarker/bangla-bert-base,1.0,103714,4714,4270,0.8217920574735582,0.7913348946135831,0.8076840060436002
