lemma,sentence,sense,start,end
পিচ,ইডেনের মালিরা বৃষ্টির জন্য পিচ তৈরির ক,0,27,30
পিচ,ঐতিহ্য বজায় রেখেই চিপকের পিচ স্পিনারদের সাহায্য করেছে ।,0,26,29
পিচ,"সেখানে আমি একটা কথা বলে রাখতে পারি যদি অস্ট্রেলিয়ার বােলাররা এই কাজে লাভদায়ক ফলাফলটা পায় , বিপক্ষে ভারতের কাছেও পেস বােলিংয়ে অনেক শক্তি আছে সেখানে তারাও ওই পিচ থেকে লাভদায়ক ফলাফলটা পাবে তাই বােলাররাই সিরিজের নির্ধারক হয়ে যাবে ।",0,160,163
পিচ,"পাকিস্তানের অফ স্পিনার সাঈদ আজমল বলেছেন , বিশ্বের সেরা টেস্ট দল দক্ষিণ আফ্রিকার বিপক্ষে আসন্ন টেস্ট সিরিজ খুবই প্রতিদ্বন্দ্বিতাপূর্ণ হবে এবং স্পিন বান্ধব পিচ থেকে সহায়তা পাবে পাকিস্তানই ।",0,154,157
পিচ,- আমরা পিচ নির্ণয় সম্পর্কে অনেক কিছু জানলাম ।,0,7,10
পিচ,তবে নতুন পিচ তৈরি হলে প্র্যাক্টিস সমস্যার অনেকটাই সমাধান হবে বলে মনে করা হচ্ছে ।,0,9,12
পিচ,"ম্যাচ ফিক্সিং , পিচ ফিক্সিং বা অন্য কোন দুর্নীতি সম্পর্কিত অভিযোগ আমার বিরুদ্ধে নেই বলা হয়েছে ।",0,16,19
পিচ,শুক্রবার তিনি নাসার তোলা মঙ্গল গ্রহের একটি ছবি টুইট করে ব্যাখ্যা করেন ভারতীয় দলের জন্য কেন দারুণ পিচ হবে সেখানে ।,0,98,101
পিচ,আর ভারতের অধিনায়ক সবুজ পিচ দেখে চার পেসার নিয়ে মাঠে নামেন ।,0,24,27
পিচ,শেষ দিনে হঠাৎ করেই পুরোপুরি স্পিনবান্ধব উইকেটে পরিণত হলো গলের পিচ ।,0,62,65
পিচ,"আহমেদাবাদের স্টেডিয়ামটি সংস্কারের মাধ্যমে এতটাই বদলে গেছে যে , পিচ , গ্যালারি , ড্রেসিংরুম চিনে নিতে হচ্ছে প্রথম দেখা ভেন্যুর মতো করে ।",0,64,67
পিচ,"আইসিসির ওয়েবসাইটে দেওয়া সাক্ষাৎকারে ভারতের অনিয়মিত স্পিনার কেদার বলেছেন , পিচ পুরোপুরি ব্যাটিং সহায়ক ছিল ।",0,77,80
পিচ,পিচ পরীক্ষায় অধিনায়ক ।,0,0,3
পিচ,পিচ স্লো হলে এই স্লোয়ার দুই পেসারের যে কেউ একজন দলে ঢুকে যেতে পারেন ।,0,0,3
পিচ,"ঠিক পুরো ম্যাচ নয় , তবে পিচ সংক্রান্ত তথ্য , যেমন কিউরেটর পিচ ভেঙে দিয়েছে বা ঘাস ছেঁটে দিয়েছে কী না , কিংবা আবহাওয়া কেমন প্রভাব ফেলবে ইত্যাদি । '",0,25,28
পিচ,তবে শুরুতে পেসাররা সুবিধা পাবেন বলেই পিচ রিপোর্টে জানানো হয় ।,0,37,40
পিচ,অশ্বিনকে দেখা গেল প্র্যাকটিস থেকে বেরনোর আগে পিচ পরীক্ষা করে এলেন ।,0,45,48
পিচ,"মার্ক ওয় , মাইকেল ভনের মতো প্রাক্তনরা বলছেন , এই পিচ টেস্টের উপযোগী নয় ।",0,50,53
পিচ,পিচ ভীষণ স্লো ।,0,0,3
পিচ,টেস্টের শেষ দিনে পিচ সব সময়ই বোলিং বান্ধব হয়ে ওঠে ।,0,17,20
পিচ,"কপিলও মনে করছেন , সিরিজের ভাগ্য ঠিক করে দেবে পিচ ।",0,45,48
পিচ,"এরপরই আক্রমণের সুর আরও চড়িয়ে বিরাট বলেন , ' আমরা যখন নিউজিল্যান্ডে দিনের মধ্যে টেস্ট হারলাম তখন কেউ পিচ নিয়ে সমালোচনা করেনি ।",0,102,105
পিচ,শট পিচ বলে পাকিস্তানের দুর্বলতার বিষয়টি বিবেচনা করে ফাস্ট বোরার জোফরা আর্চারের সঙ্গে জুটি হিসেবে উডকে রাখতে পারে ইংল্যান্ড ।,0,3,6
পিচ,"বিশ্বরূপ বলছিলেন , "" বোর্ড যেমন চাইছে , সে রকমই পিচ দেওয়া হবে ।",0,48,51
পিচ,"টেস্ট আর টি-টোয়েন্টি যেমন এক নয় , ঘূর্ণি পিচ আর সাধারণ পিচ এক নয় ।",0,43,46
পিচ,"জাডেজার সামনে ওই আত্মসমর্পণ দেখে তখন নিশ্চিত হওয়া যাচ্ছে না , পুরোটাই পিচ ?",0,71,74
পিচ,"মাইকেল ভন ব্যঙ্গ করে বলেন , এবার থেকে যদি এমনই পিচ হয় , তাহলে ব্যাটসম্যানদের তিনটি করে ইনিংস খেলতে দেওয়া হোক ।",0,47,50
পিচ,""" ভালো উইকেট , স্পোর্টিং উইকেট , সবার জন্য সহায়ক , ফরম্যাটের বিবেচনায় পাঁচ দিনই পিচ ভালো থাকবে । """,0,82,85
পিচ,"আমার কাছে প্রধান দুশ্চিন্তা , অচেনা মাঠ , অচেনা পিচ , যেগুলো নিয়ে আমাদের কোনো অভিজ্ঞতা নেই ।",0,48,51
পিচ,কিন্তু ছক্কা মারার বিশেষ দক্ষতায় ক্যারিবীয়দের আর আটকায় কোন পিচ !,0,62,65
পিচ,"ভারতীয় অধিনায়ক পিচ নিয়ে কথা বলতে গিয়ে বিরক্ত হয়ে বলেন , ' খালি পিচ আর বল নিয়ে কথা হচ্ছে , তা বুঝতে পারছি না ।",0,17,20
পিচ,"পাকিস্তান দলপতি বলেন , ' শ্রীলঙ্কার বিপক্ষে যদি দক্ষিণ আফ্রিকার সর্বশেষ টেস্ট সিরিজের কথা বলেন , সেটার পিচ ভিন্ন ছিল ।",0,103,106
পিচ,"যদিও বাংলা অধিনায়ক লক্ষ্মীরতন শুক্ল ফোনে বললেন , "" ওদের দ্বিতীয় ইনিংসে পিচ ব্যাটসম্যানদের বেশ সাহায্য করেছে । """,0,73,76
পিচ,""" বোলারদের জন্য পিচ থেকে খুব একটা সাহায্য ছিল না ।",0,16,19
পিচ,"ইংল্যান্ডের পেসার জফ্রা আর্চার এক কলামে লিখেছেন , "" পঞ্চম দিনে যে পিচটা দেখলাম সেটা আমার কেরিয়ারে দেখা সবথেকে খারাপ পিচ ।",0,117,120
পিচ,"মান বাচানোর জন্য খেলতাম , টেস্ট ম্যাচ কোনোভাবে টেনেটুনে পাঁচদিনে নেয়ার জন্য খেলতাম বলে এই ধরনের পিচ হতো , যদি কোনোভাবে টেস্টম্যাচ পাঁচদিনে নেয়া যায় !",0,97,100
পিচ,"বিশ্লেষণে মন্তব্য - মনে হচ্ছে , এ দিনের পিচ ছিল ভারতের অর্ডারি ।",0,40,43
পিচ,সাউথ আফ্রিকার পিচ বুঝতে-বুঝতেই সিরিজ শেষ হয়ে গিয়েছে ।,0,14,17
পিচ,তারা সহায়তা পেয়েছে পিচ থেকেও ।,1,21,24
পিচ,"কোথাও জলে ভরা খানাখন্দ , কোথাও আবার রাস্তা জুড়ে পিচ উঠে , ইট বেরিয়ে অসংখ্য ছোট বড় গর্ত ।",1,49,52
পিচ,কারণ পিচ উঠে গিয়ে গোটা রাস্তা জুড়েই এ দিক ওদিক তৈরি হয়েছে গর্ত ।,1,5,8
পিচ,"কাঁপা-জাগুলি সড়কের পাশে হরিণঘাটা খামারের এক নম্বর গেট মরচে পড়া লোহার গেট বহুকাল আগাছার আড়ালে মুখ লুকিয়েছে আগাছা গেটের দু'ধার ছাড়িয়ে খোবলানো পিচ রাস্তাকেও গ্রাস করেছে খানিকটা আর তার মধ্যেই লুকিয়ে আছে বর্শার ফলার মতো লোহার খুঁটির অংশ মাটি থেকে বড় জোর দেড় ফুট খাড়া হয়ে বেশি বৃষ্টিতে জলের নীচে আর নয়তো লতা-পাতার ফাঁকে থাকা ওই খুঁটি দু'টিই মরণ ফাঁদ একবার গাড়ির চাকা পড়লে আর রক্ষে নেই চোখের পলকে চাকা ফর্দাফাঁই হয়ে যাবে আর পথ চলতি মানুষের পা পড়লে যে কি হয় তার জবাব দিয়েছেন স্থানীয় এক ওষুধ দোকানি , '' ওই লোহার খুঁটি দু'টোতে এত লোকের পা কাটে যে একেকদিন একাধিক টিটেনাস ইঞ্জেকশন দিতে হয় ''",1,146,149
পিচ,পাহাড়ের গায়ে পরিষ্কার পরিচ্ছন্ন পিচ ঠালা পথ গিয়ে শেষ হয়েছে বি জি বি ক্যাম্প পর্যন্ত ।,1,34,37
পিচ,বৃষ্টি শেষে পিচ কাভার সরানোর চেষ্টা করছিলেন মাঠকর্মীরা ।,1,12,15
পিচ,এই মেশিনে উচ্চ তাপমাত্রায় বিটুমিন ( পিচ ) পুড়িয়ে পাথর ও বালু মিশিয়ে বিসিক থেকে - কিলোমিটার দূরে সড়ক মেরামতের কাজ করছে একটি ঠিকাদারি প্রতিষ্ঠান ।,1,37,40
পিচ,এলাকার মানুষের আপত্তি থাকলেও এ ভাবেই পিচ ও পাথরের বদলে ইট ফেলে গর্তে তাপ্পি দেওয়া হচ্ছে টাকি রোডে ।,1,37,40
পিচ,পিচ রাস্তা থেকে আড়াই কিলোমিটার হেঁটে গ্রামে পৌঁছতে হয় বাসিন্দাদের ।,1,0,3
