model,hf_id,regime_frac,train_size,dev_size,test_size,best_dev_f1,test_acc,test_f1
sahajbert,neuropark/sahajBERT,0.01,52,218,194,0.51,0.4329896907216495,0.4329896907216495
sahajbert,neuropark/sahajBERT,0.05,256,218,194,0.6026200873362445,0.5927835051546392,0.6220095693779905
sahajbert,neuropark/sahajBERT,0.1,510,218,194,0.6141078838174274,0.5309278350515464,0.5806451612903226
sahajbert,neuropark/sahajBERT,0.2,1022,218,194,0.7068273092369478,0.6649484536082474,0.7302904564315352
sahajbert,neuropark/sahajBERT,0.3,1532,218,194,0.6198347107438017,0.6597938144329897,0.6857142857142857
sahajbert,neuropark/sahajBERT,1.0,5106,218,194,0.7426470588235294,0.6494845360824743,0.734375
muril,google/muril-base-cased,0.01,52,218,194,0.6666666666666666,0.5,0.6666666666666666
muril,google/muril-base-cased,0.05,256,218,194,0.6666666666666666,0.5,0.662020905923345
muril,google/muril-base-cased,0.1,510,218,194,0.6666666666666666,0.5,0.6666666666666666
muril,google/muril-base-cased,0.2,1022,218,194,0.7132352941176471,0.6185567010309279,0.6890756302521008
muril,google/muril-base-cased,0.3,1532,218,194,0.7396226415094339,0.6391752577319587,0.7083333333333334
muril,google/muril-base-cased,1.0,5106,218,194,0.7248322147651006,0.6185567010309279,0.7175572519083969
labse,sentence-transformers/LaBSE,0.01,52,218,194,0.6494464944649446,0.5515463917525774,0.6167400881057269
labse,sentence-transformers/LaBSE,0.05,256,218,194,0.6509803921568628,0.4896907216494845,0.5520361990950227
labse,sentence-transformers/LaBSE,0.1,510,218,194,0.6920152091254753,0.6391752577319587,0.6788990825688074
labse,sentence-transformers/LaBSE,0.2,1022,218,194,0.6666666666666666,0.6701030927835051,0.6981132075471698
labse,sentence-transformers/LaBSE,0.3,1532,218,194,0.7245283018867924,0.6443298969072165,0.7088607594936709
labse,sentence-transformers/LaBSE,1.0,5106,218,194,0.7222222222222222,0.7010309278350515,0.7289719626168224
e5,intfloat/multilingual-e5-base,0.01,52,218,194,0.6175438596491228,0.4690721649484536,0.5795918367346938
e5,intfloat/multilingual-e5-base,0.05,256,218,194,0.6558441558441559,0.5103092783505154,0.6494464944649446
e5,intfloat/multilingual-e5-base,0.1,510,218,194,0.6015037593984962,0.5773195876288659,0.6371681415929203
e5,intfloat/multilingual-e5-base,0.2,1022,218,194,0.6687116564417178,0.4948453608247423,0.6620689655172414
e5,intfloat/multilingual-e5-base,0.3,1532,218,194,0.7218045112781954,0.6804123711340206,0.7280701754385965
e5,intfloat/multilingual-e5-base,1.0,5106,218,194,0.7228070175438597,0.6804123711340206,0.7459016393442623
banglabert,sagorsarker/bangla-bert-base,0.01,52,218,194,0.5394190871369294,0.5051546391752577,0.5966386554621849
banglabert,sagorsarker/bangla-bert-base,0.05,256,218,194,0.7083333333333334,0.6237113402061856,0.6755555555555556
banglabert,sagorsarker/bangla-bert-base,0.1,510,218,194,0.7443609022556391,0.6134020618556701,0.6835443037974683
banglabert,sagorsarker/bangla-bert-base,0.2,1022,218,194,0.714859437751004,0.6649484536082474,0.7161572052401747
banglabert,sagorsarker/bangla-bert-base,0.3,1532,218,194,0.7206477732793523,0.6855670103092784,0.726457399103139
banglabert,sagorsarker/bangla-bert-base,1.0,5106,218,194,0.75,0.634020618556701,0.7193675889328063
