lemma,sentence,sense,start,end
অর্থ,অর্থ সচিবসহ ছয়জন বিবাদীকে এ রুলের জবাব দিতে বলা হয় ।,0,0,4
অর্থ,আর সদস্য সচিবের দায়িত্ব পালন করছেন অর্থ মন্ত্রণালয়ের ব্যাংক ও আর্থিক প্রতিষ্ঠান বিভাগের অতিরিক্ত সচিব গকুল চাঁদ দাস ।,0,36,40
অর্থ,তিনি তত্ত্বাবধায়ক সরকারের শাসনামলে উপদেষ্টা পরিষদের সদস্য হিসাবে অর্থ মন্ত্রণালয়ের দায়িত্ব পালন করেন ।,0,66,70
অর্থ,"বিএনপি মহাসচিব আরও বলেন , প্রবাসীরা যারা উদায়াস্ত পরিশ্রম করছে , দেশে অর্থ পাঠাচ্ছে , রেমিটেন্স বাড়াচ্ছে - তাদের যত রকমের হেনস্তা করার আছে তারা করবে ।",0,71,75
অর্থ,দেশীয় অর্থায়নের অনিশ্চয়তার কারণেও বিদেশি সহায়তা বাবদ অর্থ ছাড় করা সম্ভব হয় না । ',0,7,11
অর্থ,অতিরিক্ত অর্থ লাভ করতে গিয়ে ক্ষতি হয়ে যাবার সম্ভাবনা দেখা যাচ্ছে ।,0,9,13
অর্থ,নগদ অর্থ লেনদেনের ঝুঁকি হ্রাস করে ইসলামিক ওয়ালেট গ্রাহকের লেনদেনের নতুন দিগন্ত উন্মোচন করবে ।,0,4,8
অর্থ,যাতে বাংলাদেশ সরকার আক্ষরিক অর্থে পার্বত্য চুক্তি বাস্তবায়ন করে ।,0,28,32
অর্থ,"এছাড়াও , প্রতিটি সদস্য রাষ্ট্র জাতিসংঘ পরিচালনার জন্য কতটুকু অর্থ প্রদান করবে তারও সিদ্ধান্ত গ্রহণ করে ।",0,62,66
অর্থ,"কিন্তু এক্ষেত্রে দেখা যাচ্ছে , আক্ষরিক অর্থে দেশের ক্রিকেটের কোনো লাভ হচ্ছে না ।",0,39,43
অর্থ,এবং শর্টফিল্ম থেকে সংগ্রহীত অর্থ ঢাকা সিনে-শ্রমিক ও কলকাতা সিনেমা-শ্রমিকদের কল্যাণ তহবিলে অনুদান দেওয়া হবে বলে জানা গেল ।,0,28,32
অর্থ,ফলে বেশির ভাগ ক্ষেত্রে নগদ অর্থ উপার্জনের সঙ্গে যুক্ত ব্যক্তিকে পরিবারের সর্বাধিক গুরুত্বপূর্ণ ব্যক্তি হিসেবে গণ্য করা হয় ।,0,27,31
অর্থ,"কারেন ক্লাইন একটি বিশেষ দেশের নাগরিক বটে , কিন্তু প্রকৃত অর্থে কারেন ক্লাইন একটি নির্বিশেষ সত্তা ।",0,57,61
